,Australian Shares,International Shares (50% Hedged),REITs,Global Infrastructure,Alternatives,Australian Bonds,International Bonds,Inflation Linked Bonds,Cash
Australian Shares,1,0.653792168,0.744668432,0.584856134,0.5,0.170265241,0.06558215,0.196010235,0.021062968
International Shares (50% Hedged),0.653792168,1,0.671784548,0.667719092,0.45,0.001046615,0.042110219,0.019834192,-0.022430704
REITs,0.744668432,0.671784548,1,0.643960781,0.5,0.069400823,0.16155085,0.12155147,-0.112411643
Global Infrastructure,0.584856134,0.667719092,0.643960781,1,0.5,0.052237696,0.206984056,0.057153632,0.106699561
Alternatives,0.5,0.45,0.5,0.5,1,0.2,0.2,0.2,0
Australian Bonds,0.170265241,0.001046615,0.069400823,0.052237696,0.2,1,0.610769161,0.65,0.248847769
International Bonds,0.06558215,0.042110219,0.16155085,0.206984056,0.2,0.610769161,1,0.638723365,0.115756426
Inflation Linked Bonds,0.196010235,0.019834192,0.12155147,0.057153632,0.2,0.65,0.638723365,1,0.155191356
Cash,0.021062968,-0.022430704,-0.112411643,0.106699561,0,0.248847769,0.115756426,0.155191356,1
